lumi(%)    alpha_s     exp           exp+PDF        scale_up        scale_down
0.5      0.11497105  0.00142570     0.00152469      0.00125416      0.00012021
1.0      0.11496815  0.00147982     0.00157630      0.00125416      0.00012021
1.5      0.11496674  0.00156556     0.00165369      0.00125416      0.00012021
2.0      0.11495711  0.00167578     0.00176189      0.00125416      0.00012021
2.5      0.11495193  0.00181031     0.00188963      0.00125416      0.00012021
3.0      0.11495193  0.00196163     0.00204006      0.00125416      0.00012021
